Product Sub-Category,Product Container,Continent,Customer Segment,Product Category,Ship Mode,Order Quantity,Profit,Sales,City,Country / Region,State or Province,Shipping Cost
Storage & Organization,Small Box,Australasia,Small Business,Office Supplies,Regular Air,32,-179,180,Suva,Fiji,Central,5
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,3,-19,125,Los Angeles,United States of America,California,3
Labels,Small Box,North America,Home Office,Office Supplies,Regular Air,2,-48,10,Lawton,United States of America,Oklahoma,7
Pens & Art Supplies,Small Box,North America,Corporate,Office Supplies,Regular Air,1,-209,38,Collierville,United States of America,Tennessee,8
Computer Peripherals,Small Box,South America,Home Office,Technology,Regular Air,33,-136,694,Rio de Janeiro,Brazil,Rio de Janeiro,7
Office Furnishings,Small Box,Africa,Corporate,Furniture,Express Air,12,-6,55,Skikda,Algeria,Wilaya de Skikda,5
Office Furnishings,Small Box,North America,Corporate,Furniture,Express Air,3,-6,14,Vallejo,United States of America,California,5
Pens & Art Supplies,Wrap Bag,North America,Consumer,Office Supplies,Regular Air,20,1,36,Maplewood,United States of America,Minnesota,1
Pens & Art Supplies,Wrap Bag,South America,Consumer,Office Supplies,Regular Air,82,1,147,Rio de Janeiro,Brazil,Rio de Janeiro,1
Computer Peripherals,Small Pack,North America,Corporate,Technology,Regular Air,4,39,458,Rochester,United States of America,Minnesota,2
Computer Peripherals,Small Pack,South America,Corporate,Technology,Regular Air,18,39,2062,Sao Paulo,Brazil,São Paulo,2
Storage & Organization,Small Box,Africa,Corporate,Office Supplies,Express Air,84,-231,1257,Skikda,Algeria,Wilaya de Skikda,11
Storage & Organization,Small Box,North America,Corporate,Office Supplies,Express Air,21,-231,314,Vallejo,United States of America,California,11
Office Furnishings,Medium Box,North America,Home Office,Furniture,Express Air,24,-135,130,Camp Springs,United States of America,Maryland,6
Appliances,Small Box,North America,Small Business,Office Supplies,Regular Air,8,-190,116,Greenfield,United States of America,Wisconsin,13
Office Furnishings,Medium Box,Asia,Home Office,Furniture,Express Air,96,-135,522,Istanbul,Turkey,Istanbul,6
Telephones and Communication,Small Box,Asia,Corporate,Technology,Regular Air,51,502,8037,Jakarta,Indonesia,Jakarta,9
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,13,502,2049,Scottsdale,United States of America,Arizona,9
Tables,Jumbo Box,North America,Home Office,Furniture,Delivery Truck,19,-1332,10034,Watertown,United States of America,New York,65
Tables,Jumbo Box,North America,Home Office,Furniture,Delivery Truck,76,-1771,40137,Miami,United States of America,Florida,65
Office Furnishings,Medium Box,North America,Consumer,Furniture,Regular Air,2,144,209,Kingsville,United States of America,Texas,14
Office Furnishings,Medium Box,Asia,Consumer,Furniture,Regular Air,10,320,1044,Chongqing,China,Chongqing Shi,14
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Regular Air,2,-37,38,Hawthorne,United States of America,New Jersey,13
Binders and Binder Accessories,Small Box,Asia,Small Business,Office Supplies,Regular Air,10,-37,191,Manila,Philippines,Région Capitale Nationale,13
Chairs & Chairmats,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,1,-181,125,Janesville,United States of America,Wisconsin,45
Appliances,Small Box,Europe,Small Business,Office Supplies,Regular Air,31,-190,449,Paris,France,Île-de-France,13
Chairs & Chairmats,Jumbo Drum,Europe,Consumer,Furniture,Delivery Truck,4,-181,501,Paris,France,Île-de-France,45
Chairs & Chairmats,Jumbo Drum,Asia,Corporate,Furniture,Delivery Truck,6,-70,321,Seoul,Republic of Korea,Soul,14
Chairs & Chairmats,Jumbo Drum,North America,Corporate,Furniture,Delivery Truck,1,-70,54,Albuquerque,United States of America,New Mexico,14
Pens & Art Supplies,Small Pack,North America,Consumer,Office Supplies,Regular Air,18,100,593,Kingsville,United States of America,Texas,9
Pens & Art Supplies,Small Pack,Asia,Consumer,Office Supplies,Regular Air,72,100,2370,Chongqing,China,Chongqing Shi,9
Paper,Small Box,Asia,Corporate,Office Supplies,Express Air,27,83,637,Tokyo,Japan,Tokyo,5
