Path,Total views
/index.html,28096
/pages/explanation/why_vizro/index.html,21080
/pages/user_guides/install/index.html,17384
/pages/tutorials/first_dashboard/index.html,17720
/pages/user_guides/dashboard/index.html,6832
/pages/tutorials/explore_components/index.html,3040
/pages/user_guides/graph/index.html,2600
/pages/API_reference/models/index.html,2544
/pages/user_guides/run/index.html,2472
/pages/API_reference/vizro/index.html,2168
/pages/user_guides/table/index.html,1920
/pages/user_guides/card_button/index.html,1792
/pages/user_guides/layouts/index.html,1784
/pages/user_guides/custom_charts/index.html,1760
/pages/user_guides/pages/index.html,1752
/pages/user_guides/custom_components/index.html,1720
/pages/user_guides/components/index.html,1640
/pages/user_guides/data/index.html,1608
/pages/user_guides/navigation/index.html,1600
/pages/user_guides/filters/index.html,1576
/pages/user_guides/parameters/index.html,1352
/pages/user_guides/container/index.html,1304
/pages/user_guides/assets/index.html,1304
/pages/user_guides/custom_actions/index.html,1152
/pages/user_guides/selectors/index.html,952
/pages/user_guides/integration/index.html,944
/pages/user_guides/custom_tables/index.html,1128
/pages/API_reference/actions/index.html,1104
/pages/user_guides/themes/index.html,1072
/pages/user_guides/actions/index.html,1000
/pages/development/contributing/index.html,976
