Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Exclusive Shelf,Categories,SmallThumbnail
59582065,Prize Women,Caroline Lea,"Lea, Caroline",,140594899X,9.78E+12,0,3.93,Penguin,Kindle Edition,438,2023,2023,11/11/2023,27/10/2023,read,Fiction,http://books.google.com/books/content?id=-4UxEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
198222359,Earth,John Boyne,"Boyne, John",,152991650X,9.78E+12,4,4.31,Transworld Digital,Kindle Edition,168,2024,,30/06/2024,29/06/2024,read,Fiction,http://books.google.com/books/content?id=-s3OEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
59125724,The Schoolhouse,Sophie Ward,"Ward, Sophie",,1472156293,9.78E+12,3,3.29,"Little, Brown Book Group",Kindle Edition,304,2023,2022,28/06/2023,28/06/2023,read,Fiction,http://books.google.com/books/content?id=0Cf8DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
40509935,Strangeways: A Prison Officer's Story,Neil Samworth,"Samworth, Neil",,1509883533,9.78E+12,4,4.05,Sidgwick & Jackson,Kindle Edition,298,2018,2018,24/01/2023,24/01/2023,read,Biography & Autobiography,http://books.google.com/books/content?id=18JQDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
57796741,In Every Mirror She's Black,Lola Akinmade Åkerström,"Åkerström, Lola Akinmade",,1801108617,9.78E+12,0,3.82,Head of Zeus - Apollo,Kindle Edition,416,2021,2021,19/04/2022,20/03/2022,read,Fiction,http://books.google.com/books/content?id=2t2fEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
51843665,The Man Who Didn't Call,Rosie Walsh,"Walsh, Rosie",,150982829X,9.78E+12,3,3.75,Mantle,Kindle Edition,353,2018,2018,22/06/2024,20/06/2024,read,Fiction,http://books.google.com/books/content?id=3olDDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
55776818,Kololo Hill,Neema Shah,"Shah, Neema",,1529030528,9.78E+12,0,3.91,Picador,Kindle Edition,353,2021,,24/02/2022,19/02/2022,read,Fiction,http://books.google.com/books/content?id=56L7DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
77781554,The Island of Longing,Anne  Griffin,"Griffin, Anne",,1529372062,9.78E+12,4,4.15,Sceptre,Kindle Edition,307,2023,2023,26/08/2023,26/08/2023,read,Fiction,http://books.google.com/books/content?id=5rycEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
187799539,One of the Good Guys,Araminta Hall,"Hall, Araminta",,1035018136,9.78E+12,0,3.51,Macmillan,Kindle Edition,324,2024,2024,07/06/2024,30/03/2024,read,Fiction,http://books.google.com/books/content?id=7vK8EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
40197590,Co-Active Coaching: The proven framework for transformative conversations at work and in life,Henry Kimsey-House,"Kimsey-House, Henry","Karen Kimsey-House, Phillip Sandahl, Laura Whitworth, Alexis Phillips",1473691133,9.78E+12,5,4.2,John Murray Business,Kindle Edition,241,2018,1998,29/12/2023,29/12/2023,read,Business & Economics,http://books.google.com/books/content?id=7z1QDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
58487910,The Mad Women's Ball,Victoria Mas,"Mas, Victoria",Frank Wynne,1473575672,9.78E+12,0,3.78,Transworld Digital,Kindle Edition,214,2021,2019,01/01/2023,18/12/2023,read,Fiction,http://books.google.com/books/content?id=9ef9DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
50707360,Daughters of Night,Laura Shepherd-Robinson,"Shepherd-Robinson, Laura",,1509880852,9.78E+12,4,4.17,Mantle,Kindle Edition,498,2021,2021,22/11/2022,13/11/2022,read,Fiction,http://books.google.com/books/content?id=a3_CDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
25573991,The Followers,Rebecca Wait,"Wait, Rebecca",,1447224760,9.78E+12,0,3.9,Picador,Kindle Edition,347,2015,2015,01/01/2023,18/12/2023,read,Fiction,http://books.google.com/books/content?id=aZyWBQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
52117365,"Starter Sourdough: The Step-by-Step Guide to Sourdough Starters, Baking Loaves, Baguettes, Pancakes, and More",Carroll Pellegrinelli,"Pellegrinelli, Carroll",,1641521651,9.78E+12,0,4.03,Rockridge Press,Kindle Edition,226,2019,,,06/11/2021,read,Cooking,http://books.google.com/books/content?id=B2EXEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
56038832,Small Pleasures,Clare Chambers,"Chambers, Clare",,1474613918,,5,3.77,Weidenfeld & Nicolson,Kindle Edition,301,2020,2021,15/05/2021,09/05/2021,read,Fiction,http://books.google.com/books/content?id=bkiZDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
59825697,Verity,Colleen Hoover,"Hoover, Colleen",,1408726610,9.78E+12,0,4.31,Sphere,Kindle Edition,333,2021,2018,09/07/2024,07/07/2024,read,Fiction,http://books.google.com/books/content?id=COdSEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
58738008,The Fell,Sarah Moss,"Moss, Sarah",,1529083257,9.78E+12,0,3.63,Picador,Kindle Edition,193,2021,2021,29/12/2022,10/11/2022,read,Fiction,http://books.google.com/books/content?id=CvEuEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
61843741,Winter People,Gráinne Murphy,"Murphy, Gráinne",,1915054362,9.78E+12,4,4.1,Legend Press,Kindle Edition,272,2022,,17/06/2023,17/06/2023,read,Fiction,http://books.google.com/books/content?id=CWOLEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
59712271,In Little Stars,Linda Green,"Green, Linda",,1787478777,9.78E+12,0,4.47,Quercus,Kindle Edition,387,2022,,12/01/2023,02/01/2023,read,Fiction,http://books.google.com/books/content?id=DGDSDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
74872307,Talking at Night,Claire Daverley,"Daverley, Claire",,1405953861,9.78E+12,5,3.96,Penguin,Kindle Edition,389,2023,2023,07/08/2024,04/08/2024,read,Fiction,http://books.google.com/books/content?id=dGiSEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
60794855,Strong Female Character,Fern  Brady,"Brady, Fern",,1914240464,9.78E+12,0,4.47,Brazen,Kindle Edition,288,2023,2023,,08/09/2024,currently-reading,Biography & Autobiography,http://books.google.com/books/content?id=DTBgEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
