Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Exclusive Shelf,Categories
53818706,Unsettled Ground,Claire Fuller,"Fuller, Claire",,,,4,3.78,Fig Tree,Kindle Edition,304,2021,2021,29/09/2024,11/09/2024,read,['N/A']
60181877,Maybe in Another Life,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,139851666X,9.7814E+12,0,3.79,Simon & Schuster UK,Kindle Edition,349,2022,2015,,22/09/2024,currently-reading,['Fiction']
56038832,Small Pleasures,Clare Chambers,"Chambers, Clare",,1474613918,,5,3.77,Weidenfeld & Nicolson,Kindle Edition,301,2020,2021,15/05/2021,09/05/2021,read,['Fiction']
125103877,After the Funeral,Tessa Hadley,"Hadley, Tessa",,1473595290,9.78147E+12,4,3.82,Vintage Digital,Kindle Edition,226,2023,2023,21/09/2024,21/09/2024,read,['Fiction']
62602332,Every Happy Family,Sarah Stovell,"Stovell, Sarah",,8441685,9.78001E+12,1,3.85,HQ,Kindle Edition,320,2023,2023,18/09/2024,17/09/2024,read,['N/A']
55339549,Because of You,Dawn French,"French, Dawn",,,,3,3.89,Penguin,Kindle Edition,416,2020,2020,15/09/2024,11/09/2024,read,['N/A']
60794855,Strong Female Character,Fern  Brady,"Brady, Fern",,1914240464,9.78191E+12,0,4.47,Brazen,Kindle Edition,288,2023,2023,,08/09/2024,currently-reading,['Biography & Autobiography']
202644015,Bittersweet: A True Story of Love and Loss,Lotte Bowser,"Bowser, Lotte",,1662521413,9.78166E+12,3,4.13,Little A,Kindle Edition,205,2024,,07/09/2024,05/09/2024,read,['N/A']
58639322,Small Things Like These,Claire Keegan,"Keegan, Claire",,571368719,9.78057E+12,0,4.18,Faber & Faber,Kindle Edition,65,2021,2021,01/09/2024,01/09/2024,read,['N/A']
22708846,"Are You There, God? It's Me, Margaret",Judy Blume,"Blume, Judy",,1447280350,9.78145E+12,4,3.94,Macmillan Children's Books,Kindle Edition,224,2014,1970,01/09/2024,01/09/2024,read,['Young Adult Fiction']
212513840,The Dream Home,T.M. Logan,"Logan, T.M.",,,,0,3.95,Zaffre,Kindle Edition,414,2024,2024,,25/08/2024,currently-reading,['N/A']
215618605,Big Swiss,Jen Beagin,"Beagin, Jen",,,,5,3.68,Faber & Faber,Kindle Edition,337,2024,2023,23/08/2024,23/08/2024,read,['N/A']
17159916,The Fault in Our Stars,John Green,"Green, John",,,,0,4.13,Penguin,Kindle Edition,336,2012,2012,13/08/2024,08/08/2024,read,['N/A']
74872307,Talking at Night,Claire Daverley,"Daverley, Claire",,1405953861,9.78141E+12,5,3.96,Penguin,Kindle Edition,389,2023,2023,07/08/2024,04/08/2024,read,['Fiction']
96177628,Good Material,Dolly Alderton,"Alderton, Dolly",,241523664,9.78024E+12,0,3.9,Penguin,Hardcover,342,2023,2023,,01/08/2024,currently-reading,['N/A']
203359251,The Alternatives,Caoilinn Hughes,"Hughes, Caoilinn",,861545877,9.78086E+12,0,3.45,Oneworld Publications,Kindle Edition,391,2024,2024,,31/07/2024,currently-reading,['N/A']
62609610,Close to Home,Michael Magee,"Magee, Michael",,,,4,4.06,Penguin,Kindle Edition,277,2023,2023,19/07/2024,29/05/2024,read,['N/A']
195026032,The Vacation Rental,Katie Sise,"Sise, Katie",,1662507720,9.78166E+12,0,4.02,Little A,Kindle Edition,284,2024,2024,,17/07/2024,currently-reading,['N/A']
59825697,Verity,Colleen Hoover,"Hoover, Colleen",,1408726610,9.78141E+12,0,4.31,Sphere,Kindle Edition,333,2021,2018,09/07/2024,07/07/2024,read,['Fiction']
61401116,The Satsuma Complex,Bob Mortimer,"Mortimer, Bob",,1398521213,9.7814E+12,0,3.68,Gallery,Kindle Edition,301,2022,2022,07/07/2024,01/07/2024,read,['Fiction']
198222359,Earth,John Boyne,"Boyne, John",,152991650X,9.78153E+12,4,4.31,Transworld Digital,Kindle Edition,168,2024,,30/06/2024,29/06/2024,read,['Fiction']
199551453,The Wrong Daughter,Dandy Smith,"Smith, Dandy",,1471414639,9.78147E+12,3,4.09,Embla Books,Kindle Edition,353,2024,2024,29/06/2024,27/06/2024,read,['Fiction']
51843665,The Man Who Didn't Call,Rosie Walsh,"Walsh, Rosie",,150982829X,9.78151E+12,3,3.75,Mantle,Kindle Edition,353,2018,2018,22/06/2024,20/06/2024,read,['Fiction']
204574138,Soldier Sailor,Claire Kilroy,"Kilroy, Claire",,,,5,4.08,Faber & Faber,Kindle Edition,241,2023,2023,14/06/2024,13/06/2024,read,['N/A']
67990541,None of This Is True,Lisa Jewell,"Jewell, Lisa",,1804940224,9.7818E+12,0,4.12,Penguin,Kindle Edition,400,2023,2023,,09/06/2024,currently-reading,['Fiction']
123247555,Engleby,Sebastian Faulks,"Faulks, Sebastian",,1804944386,9.7818E+12,0,3.75,Penguin,Kindle Edition,346,2023,2007,07/06/2024,31/03/2024,read,['N/A']
61857645,The Girls of Summer,Katie  Bishop,"Bishop, Katie",,,,0,3.53,Transworld Digital,Kindle Edition,345,2023,2023,07/06/2024,03/06/2024,read,['N/A']
118378899,This Could Be Us,Claire McGowan,"McGowan, Claire",,1472157206,9.78147E+12,0,3.97,Corsair,Kindle Edition,336,2023,,07/06/2024,10/04/2024,read,['Fiction']
59916224,Unmasking Autism: The Power of Embracing Our Hidden Neurodiversity,Devon  Price,"Price, Devon",,1800960573,9.7818E+12,0,4.43,Monoray,Kindle Edition,300,2022,2022,07/06/2024,14/04/2024,read,['Psychology']
56125938,The Night She Disappeared,Lisa Jewell,"Jewell, Lisa",,,,0,4.11,Cornerstone Digital,Kindle Edition,476,2021,2021,07/06/2024,24/04/2024,read,['N/A']
200329468,"Iris Green, Unseen",Louise Finch,"Finch, Louise",,702335371,9.7807E+12,0,3.98,Scholastic,Kindle Edition,385,2024,2024,07/06/2024,26/05/2024,read,['N/A']
187799539,One of the Good Guys,Araminta Hall,"Hall, Araminta",,1035018136,9.78104E+12,0,3.51,Macmillan,Kindle Edition,324,2024,2024,07/06/2024,30/03/2024,read,['Fiction']
62812699,Signal Fires,Dani Shapiro,"Shapiro, Dani",,1529195896,9.78153E+12,0,3.91,Vintage Digital,Kindle Edition,259,2023,2022,07/06/2024,12/03/2024,read,['N/A']
208935552,Broken Light,Joanne Harris,"Harris, Joanne",,,,0,3.87,Orion,Kindle Edition,423,2024,2023,07/06/2024,27/03/2024,read,['N/A']
200638897,The Fortune Teller,Natasha Boydell,"Boydell, Natasha",,183533296X,9.78184E+12,0,4.07,Boldwood Books,Kindle Edition,303,2024,2024,07/06/2024,03/03/2024,read,['N/A']
64629362,Old God's Time,Sebastian Barry,"Barry, Sebastian",,,,0,3.84,Faber & Faber,Kindle Edition,273,2023,2023,07/06/2024,04/01/2024,read,['N/A']
61382745,Everyone Here Is Lying,Shari Lapena,"Lapena, Shari",,1473598567,9.78147E+12,0,3.8,Transworld Digital,Kindle Edition,404,2023,2023,07/06/2024,05/06/2024,read,['Fiction']
61120646,The Direction of the Wind,Mansi Shah,"Shah, Mansi",,1542035414,9.78154E+12,0,4.09,Lake Union,Kindle Edition,318,2023,2023,,29/05/2024,currently-reading,['N/A']
74827090,Small Joys,Elvin James Mensah,"Mensah, Elvin James",,,,2,3.94,Scribner UK,Kindle Edition,399,2023,2023,29/05/2024,27/05/2024,read,['N/A']
61831984,Where Water Lies,Hilary Tailor,"Tailor, Hilary",,1542036607,9.78154E+12,4,4.16,Lake Union Publishing,Kindle Edition,332,2024,2024,19/05/2024,08/05/2024,read,['N/A']
212438233,Ordinary Human Failings,Megan Nolan,"Nolan, Megan",,,,0,3.77,Vintage Digital,Kindle Edition,240,2023,2023,,18/05/2024,currently-reading,['N/A']
44009272,Lie With Me,Philippe Besson,"Besson, Philippe",Molly Ringwald,,,4,4.26,Penguin,Kindle Edition,160,2019,2017,02/05/2024,02/05/2024,read,['N/A']
61034676,In Memoriam,Alice  Winn,"Winn, Alice",,024156784X,9.78024E+12,0,4.53,Viking,Kindle Edition,380,2023,2023,14/04/2024,01/04/2024,read,['Fiction']
203324713,All the Little Bird-Hearts,Viktoria Lloyd-Barlow,"Lloyd-Barlow, Viktoria",,,,0,3.79,Tinder Press,Kindle Edition,274,2023,2023,,11/04/2024,currently-reading,['N/A']
203575664,The Turnglass,Gareth Rubin,"Rubin, Gareth",,1398514519,9.7814E+12,0,3.49,Simon & Schuster UK,Kindle Edition,512,2023,2023,,11/04/2024,currently-reading,['Fiction']
156512383,Green Dot,Madeleine Gray,"Gray, Madeleine",,1399612794,9.7814E+12,4,3.7,Weidenfeld & Nicolson,Kindle Edition,376,2024,2024,09/04/2024,09/04/2024,read,['Fiction']
