artist,name,song,person,sentence,year,highestRank
Metro Boomin Featuring 21 Savage,Harriet,10 Freaky Girls,True,Harriet Tubman,2018.0,42.0
Metro Boomin Featuring 21 Savage,Jess,10 Freaky Girls,True,For Jess,2018.0,42.0
Metro Boomin Featuring 21 Savage,Keisha,10 Freaky Girls,True,Keisha eat the molly like it's candy,2018.0,42.0
Metro Boomin Featuring 21 Savage,Randy,10 Freaky Girls,True,Bodyslam a nigga like I'm Randy,2018.0,42.0
Metro Boomin Featuring 21 Savage,Sandy,10 Freaky Girls,True,"In Bikini Bottom, I'm with Sandy",2018.0,42.0
Metro Boomin Featuring 21 Savage,Tiffany,10 Freaky Girls,True,"I curve Tiffany, yeah",2018.0,42.0
Trippie Redd Featuring Juice WRLD,Ike,1400 / 999 Freestyle,True,I'ma beat the shit up like Ike-y Turner,2018.0,55.0
Trippie Redd Featuring Juice WRLD,Madison,1400 / 999 Freestyle,True,"These niggas square like Madison, oh",2018.0,55.0
21 Savage,Ella,1.5,True,You must look up to Ella,2019.0,86.0
21 Savage,Jerry,1.5,True,Savage a.k.a. Jerry Heller,2019.0,86.0
Meek Mill,Billy,1942 Flows,True,"Billy with the stamp, I get two with it'",2017.0,83.0
Meek Mill,Daniel,1942 Flows,True,"Damn Daniel, why you selling Mr. Miyagi though",2017.0,83.0
Meek Mill,Jazmine,1942 Flows,True,".40 bust your windows out, Jazmine Sullivan",2017.0,83.0
Meek Mill,Jesus,1942 Flows,True,Like I'm Jesus the way she cross me,2017.0,83.0
Meek Mill,Nicki,1942 Flows,True,So when you see me out don't ask me about no Nicki,2017.0,83.0
Meek Mill,Ross,1942 Flows,True,Ever since I met Ross and signed a dotted line,2017.0,83.0
Meek Mill,Wendy,1942 Flows,True,I look like tellin' my business on Wendy,2017.0,83.0
Gunna Featuring Young Thug,Ross,3 Headed Snake,True,I fucked her at Ross place,2019.0,74.0
2 Chainz Featuring Travis Scott,Carter,03:59:59.99999999999920125,True,"Reminiscin' 'bout the trap, playin' the first Carter",,
Future,Jerry,4 Da Gang,True,"You see my plain Patek, cost Jerry Rice, nigga",2017.0,92.0
